Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Cachoeira do Piriá,1501956,1.35699248470812,0.404151550132223,-1.67,-46.52,125041.4,628,9320,4552,342,23785,40668,9.25248e-06,16246,0.95,0.02,0.003944773,0.12636612,0.9,0.049802761,13382,-1.67,-46.52,Amazônia
Cachoeira do Arari,1502004,1.16685784267621,0.347523962892816,-1.01,-48.96,74594.2,1109,7584.64,2595,3664,39206,6275.93,6.83721e-06,12358,0.85,0.04,0,0.158108108,0.97,0.020833333,7454,-1.01,-48.96,Amazônia
Cametá,1502103,1,0.297828878705364,-2.24,-49.49,96675.1,6866,20894,48246,10363,284233,53831,3.82257e-05,11669,0.92,0.03,0.00504306,0.155728393,0.92,0.051361626,43.52,-2.24,-49.49,Amazônia
Canaã dos Carajás,1502152,1.15517694877317,0.344045055359397,-6.49,-49.87,131211.5,6913,59881,3467,1950,138174,17334.77,2.3181e-06,27413,0.76,0.14,0.010452962,0.267148014,0.7,0.030487805,11.45,-6.49,-49.87,Amazônia
Capanema,1502202,1.38494037766294,0.412475239753135,-1.19,-47.18,25356.6,326,7816.53,3042,675,18015,4970.87,1.74155e-05,12781,0.88,0.13,0.002173913,0.137096774,0.73,0.047826087,109242,-1.19,-47.18,Amazônia
Capitão Poço,1502301,1.21780775424134,0.362698317924395,-1.74,-47.06,106364,6356,30722,8399,2920,111165,21438,6.34196e-06,16521,0.91,0.13,0.002067825,0.110429448,0.93,0.054177006,18223,-1.74,-47.06,Amazônia
Castanhal,1502400,0.999999999999704,0.297828878705275,-1.29,-47.92,38086.4,2053,36023.88,3461,2373,92877,13761,1.97459e-05,27999,0.74,0.14,0,0.243197279,0.7,0.042972247,189771,-1.29,-47.92,Amazônia
Chaves,1502509,1.64567269218162,0.490128852628489,-0.15,-49.98,468467.5,2754,14050.4,5994,1530,45693,154366,1.93096e-06,12941,0.83,0.13,0.00116144,0.056925996,0.84,0.034262485,1763,-0.15,-49.98,Amazônia
Colares,1502608,1,0.297828878705363,-0.93,-48.28,2788.4,112,2952.3,1760,56,3847,1154.41,0.000696088,6448,0.93,0.04,0.002150538,0.227586207,0.5,0.021505376,19284,-0.93,-48.28,Amazônia
Conceição do Araguaia,1502707,1.82140474583477,0.542466933120596,-8.25,-49.26,344172.2,6264,55171,10171,3227,104777,70133.51,1.72034e-06,11168,0.84,0.12,0.012987013,0.248197115,0.91,0.123376623,7989,-8.25,-49.26,Amazônia
Concórdia do Pará,1502756,1.5919605727514,0.474131832325697,-1.99,-47.94,35964,989,13448.52,5254,681,26514,12082.69,3.76304e-05,14935,0.87,0.07,0.005071851,0.148809524,1,0.106508876,46885,-1.99,-47.94,Amazônia
Cumaru do Norte,1502764,1,0.297828878705363,-7.82,-50.77,923617.6,9618,110457.35,3939,3200,221466,311244.15,5.81687e-07,7656,0.79,0.07,0,0.203216374,0.98,0.060991105,0.77,-7.82,-50.77,Amazônia
Curionópolis,1502772,0.999999999999292,0.297828878705152,-6.09,-49.54,184005.6,6041,74452.02,1483,620,187645,40186.37,1.94854e-06,26123,0.62,0.37,0.028846154,0.305389222,0.86,0.083333333,7367,-6.09,-49.54,Amazônia
Curralinho,1502806,1,0.297828878705363,-1.81,-49.79,87923.2,1478,1,11865,788,47935,45905,0.000191229,4932,0.96,0.01,0.005100306,0.065383218,0.97,0.029921795,9258,-1.81,-49.79,Amazônia
Curuá,1502855,3.35763275994898,1,-1.88,-55.11,70282.5,730,5229.34,2380,1596,13272,49752.21,1.1096e-05,10.32,0.76,0.23,0,0.14198783,0.96,0.250505051,9.78,-1.88,-55.11,Amazônia
Curuçá,1502905,0.999999999999741,0.297828878705286,-0.73,-47.85,7074.5,333,14090.5,2549,580,24781,5288.22,0.000321543,21441,0.85,0.08,0.005291005,0.263392857,0.54,0.15696649,57917,-0.73,-47.85,Amazônia
Dom Eliseu,1502939,0.999999999999963,0.297828878705352,-4.28,-47.5,213396.2,16713,251864,3022,15609,267009,95187,5.32141e-06,13016,0.66,0.26,0.021164021,0.371900826,0.88,0.088183422,11022,-4.28,-47.5,Amazônia
