"Cidade","Bioma","Estado","Regiao","Geocode","Eficiencia_VRS","Efic_Norm_VRS","Eficiencia_CRS","Efic_Norm_CRS","Latitude","Longitude","x1","x2","x3","x4","x5","y1","y2","Iy3","Iy4","z1","z2","z3","z4","z5","z6","z7","z8","z9","cluster","Eficiencia_Bootstrap"
"Patos de Minas","Cerrado","MG","SUDESTE",3148004,1.17881421993392,0.848310092540332,1.56607975539109,0.638537083796395,-18.57,-46.51,245030.5,24789,507586,12008,24750,736758,35602,1.76201e-06,10836,0.76,0.26,0.050807092,0.271934605,0.88,0.160095263,47299,-18.57,-46.51,"0.76 - 1.00",1.31898533440871
"Patrocínio","Cerrado","MG","SUDESTE",3148103,1.00000000000175,0.999999999998245,1.27715954295782,0.782987533166034,-18.94,-46.99,193444.8,46309,709710,11879,28932,966748,41822,3.05167e-06,10662,0.7,0.49,0.146263345,0.398867314,0.81,0.240569395,31306,-18.94,-46.99,"0.76 - 1.00",1.14121819475571
"Pedrinópolis","Cerrado","MG","SUDESTE",3149200,1.00000000000004,0.99999999999996,1.00000000000006,0.999999999999935,-19.22,-47.46,30358.1,2967,58470.76,541,3411,76569,10003.41,2.11005e-05,10458,0.64,0.59,0.034090909,0.350515464,0.85,0.215909091,10.26,-19.22,-47.46,"0.76 - 1.00",1.15228396819065
"Pedro Leopoldo","Cerrado","MG","SUDESTE",3149309,1.57685429254943,0.634174003726885,1.84774131986501,0.541201297632428,-19.61,-44.04,14294.2,621,23935.04,794,963,22156,4717.07,3.43874e-05,15184,0.4,0.68,0.016304348,0.5,0.83,0.097826087,217913,-19.61,-44.04,"0.51 - 0.75",1.72617198270048
"Pequi","Cerrado","MG","SUDESTE",3149606,1.16344666189136,0.859515122398777,1.16798560642512,0.856174934433244,-19.63,-44.65,13865.2,1062,20688.29,806,1143,48149,3286.54,2.59249e-05,14871,0.63,0.36,0.151639344,0.431034483,0.83,0.110655738,21545,-19.63,-44.65,"0.76 - 1.00",1.27801385938616
"Perdigão","Cerrado","MG","SUDESTE",3149705,1.26642850543696,0.789622150565036,1.54673197004637,0.646524426575356,-19.95,-45.08,15196.5,667,15114,855,445,28945,3531.25,3.00361e-05,20908,0.77,0.12,0.00982801,0.1640625,0.96,0.044226044,43502,-19.95,-45.08,"0.76 - 1.00",1.39150590855282
"Perdizes","Cerrado","MG","SUDESTE",3149804,1,1,1,1,-19.35,-47.29,166984.7,21782,479050,5440,27925,913227,29058,2.56318e-06,10585,0.66,0.31,0.089461713,0.388535032,0.71,0.196360879,6497,-19.35,-47.29,"0.76 - 1.00",1.19919717800136
"Pimenta","Cerrado","MG","SUDESTE",3150505,1.28351786228128,0.779108752115561,1.38385838242082,0.722617294300498,-20.48,-45.79,29547.3,2914,57877,2104,4871,102602,7446,1.34955e-05,10659,0.82,0.62,0.036565978,0.200787402,0.83,0.208267091,21014,-20.48,-45.79,"0.76 - 1.00",1.39873287350986
"Pirajuba","Cerrado","MG","SUDESTE",3150703,1.49524139119053,0.668788334707473,1.50266764031911,0.665483153538619,-19.9,-48.7,31955.9,12722,158413.71,1732,2296,141492,3143.59,1.00801e-05,8967,0.41,0.66,0.189873418,0.428571429,0.9,0.405063291,17131,-19.9,-48.7,"0.51 - 0.75",1.67071483474871
"Pirapora","Cerrado","MG","SUDESTE",3151206,1.43320434687106,0.697737208363328,1.80123069374134,0.555175971337075,-17.34,-44.94,35894.9,3895,43829,1970,4027,63187,9535.06,5.11658e-05,24949,0.67,0.46,0,0.24137931,0.54,0.182156134,103193,-17.34,-44.94,"0.51 - 0.75",1.57631209115629
