Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Brotas,3507902,1.23631818352467,0.350171108326362,-22.28,-48.12,91715,23136,198198.39,2656,3745,235997,27630,8.24558e-06,26.57,0.51,0.4,0.126262626,0.50802139,0.82,0.21969697,21662,-22.28,-48.12,Cerrado
Buri,3508009,0.999999999999923,0.283237044470232,-23.79,-48.59,95038.9,12597,151267.2,2526,5799,348328,49938.44,1.03641e-05,17.84,0.66,0.22,0.032075472,0.541958042,0.91,0.173584906,16504,-23.79,-48.59,Cerrado
Buritizal,3508207,2.0010185718588,0.566762586223376,-20.19,-47.7,22098.3,24642,253157.51,404,53060,75532,2421.88,2.0812e-05,12.24,0.67,0.42,0.150326797,0.467391304,0.86,0.045751634,16545,-20.19,-47.7,Cerrado
Cabrália Paulista,3508306,1.53195841786591,0.433907374527666,-22.45,-49.33,13750.7,931,18721.97,319,3289,18644,5403.48,2.93076e-05,11434,0.46,0.54,0.02020202,0.4,0.93,0.252525253,18135,-22.45,-49.33,Cerrado
Cajuru,3509403,1.00000000000005,0.283237044470268,-21.27,-47.3,56397.6,2121,37242.91,2207,1244,211652,10862,1.05451e-05,28327,0.5,0.13,0.033967391,0.436507937,0.95,0.066576087,38866,-21.27,-47.3,Cerrado
Campina do Monte Alegre,3509452,1.59938282600386,0.453004464613816,-23.59,-48.47,14588.5,1173,15380.47,344,926,39648,3603.65,3.50396e-05,10605,0.69,0.29,0.028368794,0.31884058,0.76,0.120567376,32227,-23.59,-48.47,Cerrado
Campos Novos Paulista,3509809,1.00000000000014,0.283237044470294,-22.6,-50,33018.4,4442,69069.2,688,261,98847,4752.18,1.62799e-05,8911,0.61,0.64,0.492146597,0.285714286,0.82,0.256544503,10.12,-22.6,-50,Cerrado
Cândido Mota,3510005,1.23428641303341,0.349595635657374,-22.74,-50.38,39480.6,7153,101981.88,1200,4613,187986,1773.03,1.2176e-05,9235,0.61,0.87,0.62962963,0.422222222,0.83,0.39031339,52471,-22.74,-50.38,Cerrado
Capão Bonito,3510203,1.27699090983347,0.361691131116614,-24,-48.34,104229.3,11319,158610,3174,9108,220327,53660.07,1.00128e-05,30264,0.64,0.36,0.067105263,0.301886793,0.84,0.155263158,28937,-24,-48.34,Cerrado
Cardoso,3510708,2.56503775771209,0.726513713448981,-20.08,-49.91,40490.6,1157,67331.82,621,478,34057,6865,7.70661e-06,6816,0.71,0.37,0.030418251,0.438709677,0.93,0.114068441,19285,-20.08,-49.91,Cerrado
Casa Branca,3510807,1.00000000000001,0.283237044470257,-21.77,-47.08,70107.1,18858,305530.66,3519,8922,404043,12247,9.20084e-06,28.19,0.57,0.56,0.228174603,0.470046083,0.64,0.216269841,34.88,-21.77,-47.08,Cerrado
Cássia dos Coqueiros,3510906,1.26500004144515,0.358294872993674,-21.28,-47.16,13870.6,1563,20379,952,1741,50988,2666.99,2.85863e-05,15976,0.69,0.48,0.13125,0.65,0.96,0.103125,13517,-21.28,-47.16,Cerrado
