Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Indiavaí,5104500,1.40364872240603,0.273724007567566,-15.49,-58.57,56154.7,1800,39817.05,727,2325,55536,13302.66,6.40243e-06,10234,0.69,0.45,0.242857143,0.302083333,0.91,0.228571429,4468,-15.49,-58.57,Amazônia
Ipiranga do Norte,5104526,1,0.195008910134131,-12.24,-56.14,368524.8,52543,837463.84,2028,84257,1101353,103236.64,2.77571e-06,4.88,0.35,0.9,1e-10,0.166666667,0.9,0.754491018,2068,-12.24,-56.14,Amazônia
Itanhangá,5104542,1.44097642922467,0.281003242992075,-12.17,-56.68,277115.1,15068,182027.68,2932,19538,400660,113733.47,5.6238e-06,8842,0.92,0.27,0.042536116,0.361413044,0.34,0.207865169,2207,-12.17,-56.68,Amazônia
Itaúba,5104559,1,0.195008910134131,-11.06,-55.27,315315.4,11717,142827.26,1019,8660,247677,184752.63,3.71669e-06,19697,0.37,0.44,0.008403361,0.529411765,0.76,0.168067227,0.84,-11.06,-55.27,Amazônia
Jauru,5105002,1.80254630987311,0.351512591354656,-15.34,-58.86,137193,3696,59131.69,2935,1553,111211,14711.05,2.54822e-06,7.3,0.86,0.16,0.050672182,0.216981132,0.93,0.194415719,6.46,-15.34,-58.86,Amazônia
Juara,5105101,0.999999999999357,0.480590906433599,-11.25,-57.52,1521652.2,34008,313591.35,5469,11854,565069,846094,4.9612e-07,12.84,0.68,0.12,0.005328597,0.320543565,0.96,0.12847839,1496,-11.25,-57.52,Amazônia
Juína,5105150,1.51679498777239,0.728957878047941,-11.37,-58.74,744663.7,13805,252854.01,6617,9656,247954,309222,6.41277e-07,11132,0.71,0.07,0.001449801,0.290562529,0.96,0.112359551,1519,-11.37,-58.74,Amazônia
Juruena,5105176,1,0.480590906433908,-10.31,-58.35,272570.7,4424,40463.68,2935,1223,61888,143253.37,2.31381e-06,9299,0.7,0.03,0.000944287,0.324232082,0.99,0.133144476,5366,-10.31,-58.35,Amazônia
Lambari D'Oeste,5105234,1,0.480590906433908,-15.32,-58,183858,14141,70380.09,1641,1337,315314,52545.07,2.86153e-06,8496,0.61,0.16,0.002358491,0.272727273,0.99,0.129716981,3335,-15.32,-58,Amazônia
Lucas do Rio Verde,5105259,0.999999999999994,0.480590906433905,-13.05,-55.91,315746.1,48201,791927,2605,46992,1228606,82765,2.04902e-06,17478,0.36,0.76,0.009345794,0.510638298,0.85,0.433021807,16738,-13.05,-55.91,Amazônia
Luciara,5105309,1,0.480590906433908,-11.22,-50.66,154860.2,992,7842.99,617,1000,11767,20406.84,9.4679e-06,6036,0.47,0.05,0,0.459677419,0.99,0.041284404,0.48,-11.22,-50.66,Amazônia
Vila Bela da Santíssima Trindade,5105507,1.65593194125171,0.795825832639017,-15,-59.95,1023684.2,24550,301935.74,5308,16700,628146,334385.26,4.93017e-07,7489,0.69,0.28,0.03879027,0.395243488,0.93,0.226166995,1157,-15,-59.95,Amazônia
Marcelândia,5105580,1.1114275578743,0.534141977474435,-11.13,-54.59,709477.6,16910,192722.42,3015,8549,285513,385770,2.20339e-06,9917,0.55,0.17,0.00989011,0.275303644,0.78,0.22967033,0.85,-11.13,-54.59,Amazônia
Matupá,5105606,1.43794669536263,0.691064105727969,-10.05,-54.93,288885,32605,202581.4,3154,45786,292286,116199.72,1.91864e-06,11683,0.73,0.11,0.012409514,0.295035461,0.98,0.263702172,3041,-10.05,-54.93,Amazônia
Mirassol d'Oeste,5105622,1.00000000000034,0.480590906434072,-15.67,-58.09,97491.7,14839,123558.23,3854,972,158721,14999,2.70921e-06,12868,0.79,0.09,0.001404494,0.294623656,0.61,0.138342697,24793,-15.67,-58.09,Amazônia
Nortelândia,5106000,1,0.480590906433908,-14.45,-56.8,162684.6,3689,43114.01,1094,996,191868,98927.01,7.97271e-06,11704,0.66,0.31,0.002242153,0.288808664,0.48,0.33632287,4355,-14.45,-56.8,Amazônia
Nova Bandeirantes,5106158,1,0.480590906433908,-9.81,-57.86,668574.8,9312,67453,4296,4797,102431,336453.05,1.0213e-06,9806,0.83,0.06,0,0.264653641,0.97,0.137761378,1509,-9.81,-57.86,Amazônia
Nova Lacerda,5106182,1.11677660719513,0.536712681936093,-14.47,-59.6,307040.2,5837,61691.52,2606,9691,246164,119779.78,1.82964e-06,8934,0.77,0.06,0.004552352,0.217603912,0.7,0.135053111,1322,-14.47,-59.6,Amazônia
Nova Santa Helena,5106190,1.02020101658547,0.490299331305604,-10.85,-55.17,162901.7,6661,75775.63,891,3165,125482,60481.34,3.71124e-06,12513,0.71,0.39,0.022160665,0.304526749,0.92,0.282548476,1514,-10.85,-55.17,Amazônia
Nova Canaã do Norte,5106216,1.77475101896097,0.852929200896953,-10.55,-55.95,436540.1,17568,182190.72,3818,14443,322223,146138,1.12111e-06,7647,0.8,0.08,0.00063012,0.210121012,0.96,0.311909263,2.08,-10.55,-55.95,Amazônia
Nova Mutum,5106224,1,0.480590906433908,-13.83,-56.08,766160.4,82811,1362809.35,4729,97590,2286255,263014,1.06157e-06,13576,0.43,0.59,0.027231468,0.411320755,0.61,0.403933434,4.47,-13.83,-56.08,Amazônia
Nova Olímpia,5106232,1.00000000000001,0.480590906433912,-14.79,-57.28,136078.3,2075,31529.18,1866,184,142068,35171,3.22768e-06,8589,0.71,0.14,0.00443459,0.345454546,1,0.215077605,14231,-14.79,-57.28,Amazônia
